fetch_time_utc,latest_market_date,previous_regime,top_regime,rule_top_regime,student_t_top_regime,change_point_risk_score,change_point_risk_level,ensemble_prob_R0,ensemble_prob_R1,ensemble_prob_R2,ensemble_prob_R3,rule_prob_R0,rule_prob_R1,rule_prob_R2,rule_prob_R3,student_t_prob_R0,student_t_prob_R1,student_t_prob_R2,student_t_prob_R3,us10y_level,us30y_level,us10y_20d_change_bp,us30y_20d_change_bp,dxy_20d_return,spy_20d_return,qqq_20d_return,iwm_spy_20d_relative,eem_spy_20d_relative,tlt_20d_return,hyg_20d_return,hy_oas_20d_change_bp,ig_oas_20d_change_bp
2026-05-17T13:21:54.992171+00:00,2026-05-15,,R1,R1,R1,0.2013380582620743,low,0.2082541762044366,0.6548547380642433,0.0780753080190374,0.0588157777122825,0.1514174664521698,0.7499756209573569,0.0305706592402656,0.0680362533502076,0.2767592712728401,0.5756046933806264,0.1476113477306042,2.4687615929222063e-05,4.47,5.02,14.999999999999948,8.999999999999986,1.1926587024911672,4.087921770763803,9.259462025191434,-3.4279727779888525,-1.8409068133620643,-3.5615822484453608,-0.9592468666833942,-10.000000000000009,-5.000000000000004
2026-05-19T00:41:55.606860+00:00,2026-05-18,R1,R1,R1,R1,0.2633452641239524,low,0.1468282609195306,0.6606593242478489,0.119209009599762,0.0733034052328583,0.1859213531939104,0.637984153622282,0.0828709285061726,0.0932235646776349,0.0067188791913851,0.820796464838651,0.1724755924115741,9.063558389702038e-06,4.59,5.12,33.00000000000001,24.00000000000002,0.9964276849359744,4.223114198580258,9.135890917124057,-4.720682200182336,-1.3899377077901676,-3.654739717066768,-0.7733998202675174,-3.000000000000025,-5.000000000000004
2026-05-19T10:51:21.330263+00:00,2026-05-19,R1,R1,R1,R1,0.2481915708243098,low,0.1474820371218913,0.6554325930192165,0.12362945462688,0.0734559152320122,0.1859213531939104,0.637984153622282,0.0828709285061726,0.0932235646776349,0.0079889116012754,0.802919416610887,0.1890793646755899,1.230711224775219e-05,4.59,5.12,33.00000000000001,24.00000000000002,0.8393419044692152,4.223114198580258,9.135890917124057,-4.720682200182336,-1.3899377077901676,-3.654739717066768,-0.7733998202675174,-3.000000000000025,-5.000000000000004
2026-05-20T10:37:50.178688+00:00,2026-05-20,R1,R1,R1,R1,0.2473009729697359,low,0.1178511428753628,0.7047858829389401,0.1166064713852103,0.0607565028004868,0.1387844714124276,0.7158177739671615,0.0733541562053655,0.0720435984150453,0.0034395918045384,0.8117364243845692,0.1848128055403691,1.1178270523231724e-05,4.61,5.14,35.00000000000006,25.99999999999998,0.8094169591564615,4.211163881835156,8.877440238680578,-4.761238455405071,-0.9822447874890284,-3.746608737941459,-0.7517836276981105,-4.000000000000004,-6.000000000000005
2026-05-21T11:51:50.230745+00:00,2026-05-21,R1,R1,R1,R1,0.1850101073752615,low,0.1663981785516411,0.615543523773096,0.1439653101715904,0.0740929875036724,0.1859213531939104,0.637984153622282,0.0828709285061726,0.0932235646776349,0.0672518285601655,0.6680604085536804,0.2646579303166737,2.9832569480356618e-05,4.67,5.18,37.000000000000014,29.000000000000004,0.4524277149639655,4.223784409564835,8.85958699459497,-2.997661725770895,-0.9419952311108482,-2.90539973270022,-0.2751923416786539,0.9999999999999788,-4.000000000000004
2026-05-22T10:37:11.314741+00:00,2026-05-22,R1,R1,R1,R0,0.1251779798558038,low,0.3799003495875699,0.4136462629408752,0.1130952960673509,0.093358091404204,0.2551655055156321,0.5236464448214188,0.0968510817514198,0.1243369679115292,0.6368474997186501,0.2219499928890871,0.1411768725394477,2.563485281512732e-05,4.57,5.11,27.00000000000005,21.0,0.8090519267376806,4.837314970089812,9.68500023189649,-2.307552521399648,1.0648508602801643,-2.332766440410861,-0.0638589530166267,-4.000000000000004,-4.000000000000004
2026-05-23T07:57:36.258802+00:00,2026-05-22,R1,R0,R1,R0,0.1089458134908958,low,0.4464387407890014,0.3199176143643534,0.11922497724909,0.114418667597555,0.3326696411284611,0.3956696411284611,0.1124988968618355,0.1591618208812423,0.7026599358492033,0.1649878066956495,0.1323154801094186,3.677734572872759e-05,4.57,5.1,23.000000000000043,17.99999999999997,0.8222490519019576,4.440150726759828,8.082781940992966,-1.3785199992809805,-1.0827683630971086,-1.980520053976531,-0.187960610225879,-8.000000000000007,-5.000000000000004
2026-05-27T12:02:06.530038+00:00,2026-05-27,R0,R0,R0,R0,0.1121315567362239,low,0.5081021856525199,0.2632128696702895,0.1142560195878411,0.1144289250893495,0.4376696411284611,0.3326696411284611,0.0704988968618355,0.1591618208812423,0.6983958966556509,0.1020675633461295,0.1993593795716651,0.0001771604265544,4.56,5.07,25.0,16.000000000000014,0.528286432001801,4.952674859364481,9.943852396050112,-0.1284003372793662,2.526901164963258,-1.0034270897179676,0.1119684605975113,-9.999999999999964,-7.000000000000006
2026-05-28T12:47:56.515274+00:00,2026-05-28,R0,R0,R0,R0,0.0896846606007942,low,0.6986340935965439,0.1431356382889547,0.0570173014793918,0.1012129666351095,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,0.9526449819142164,0.0158563664821486,0.0314189084323006,7.974317133421777e-05,4.5,5.03,15.000000000000036,8.999999999999986,0.2749728860321765,5.4475992915808735,10.934533609435704,0.5616706273750216,3.1251861780020587,-0.8741701421397519,0.1864210890204276,-12.99999999999999,-7.000000000000006
2026-05-29T11:56:42.708122+00:00,2026-05-29,R0,R0,R0,R0,0.0880927516824,low,0.7047680146761909,0.140954268123092,0.0530579342224206,0.1012197829782963,0.6274248715218221,0.1753098171495287,0.0604554941791203,0.1368098171495287,0.9729958709779364,0.008537375328388,0.0184173530089987,4.940068467690683e-05,4.48,5.01,12.00000000000001,6.99999999999994,0.980829901998681,6.04569513798785,11.190042995017224,1.286711945078678,3.397600624217456,0.4161088050049111,0.6494608420269055,-10.999999999999988,-7.000000000000006
